id,title,author,pub_year,publisher,price,img,class
284,Coffin Road,"SAWYER, Corinne Holt",2016,2 sellers,US$51.12 ,https://pictures.abebooks.com/inventory/md/md31022431122.jpg,Fiction (Crime Fiction)
285,The Lord of the Rings. The Fellowship of the Ring; The Two Towers; The Return of the King,"Tolkien, J. R. R.",1954,218 sellers,"US$135,000.00 ",https://pictures.abebooks.com/inventory/md/md31597460110.jpg,Signed
286,American Dirt: A Novel ***AUTHOR SIGNED***,"Morrison, Toni",2020,218 sellers,US$150.00 ,https://pictures.abebooks.com/inventory/md/md31405139935.jpg,Signed
287,Rosa Parks: My Story,Bonnie Garmus,1992,218 sellers,US$81.47 ,https://pictures.abebooks.com/inventory/md/md31586781925.jpg,Signed
288,The Invention of Hugo Cabret,"Doerr, Anthony",2007,218 sellers,US$40.00 ,https://pictures.abebooks.com/isbn/9780439813785-us-300.jpg,Signed
289,The Maidens: A Novel *** AUTHOR SIGNED ARC,"Cummins, Jeanine",2021,218 sellers,US$45.00 ,https://pictures.abebooks.com/inventory/md/md31479263917.jpg,Signed
290,The Fault in Our Stars,"Davis, Angela",2012,218 sellers,US$79.35 ,https://pictures.abebooks.com/inventory/md/md31377301995.jpg,Signed
291,March: A Novel ***AUTHOR SIGNED***,"Lawrence, Jacob [Art]; Peter T. Nesbett [Editor]; Michell...",2005,218 sellers,US$65.00 ,https://pictures.abebooks.com/inventory/md/md31395207125.jpg,Signed
292,Cloud Cuckoo Land,Anthony Doerr,2021,150 sellers,US$76.00 ,https://pictures.abebooks.com/inventory/md/md31132046727.jpg,First Editions
293,Our Missing Hearts,Jeanine Cummins,2022,150 sellers,US$61.00 ,https://pictures.abebooks.com/inventory/md/md31350892116.jpg,First Editions
294,The Candy House,"Fitzgerald, F. Scott",2022,150 sellers,US$62.00 ,https://pictures.abebooks.com/inventory/md/md31418132207.jpg,First Editions
295,Audition: A Memoir,"Hughes, Langston",2008,150 sellers,US$49.00 ,https://pictures.abebooks.com/inventory/md/md31521153266.jpg,First Editions
296,Go Tell the Bees That I Am Gone,Celeste Ng,2021,150 sellers,US$59.00 ,https://pictures.abebooks.com/inventory/md/md31082945809.jpg,First Editions
297,The Water Dancer,Emiliy St. John Mandel,2019,150 sellers,US$64.00 ,https://pictures.abebooks.com/inventory/md/md30865008951.jpg,First Editions
298,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David",2023,109 sellers,US$150.00 ,https://pictures.abebooks.com/inventory/md/md31649779690.jpg,Modern First Editions
299,A Gentleman in Moscow: A Novel,"Grann, David",2016,109 sellers,US$65.00 ,https://pictures.abebooks.com/inventory/md/md31649782672.jpg,Modern First Editions
300,Circe,"Wilkerson, Isabel",2018,109 sellers,US$125.00 ,https://pictures.abebooks.com/inventory/md/md31435058152.jpg,Modern First Editions
301,What Do You Care What Other People Think?: Further Adventures of a Curious Character,"Westover, Tara",1988,109 sellers,US$65.00 ,https://pictures.abebooks.com/inventory/md/md31498096980.jpg,Modern First Editions
302,The Song of the Cell: An Exploration of Medicine and the New Human,"Towles, Amor",2022,109 sellers,US$85.00 ,https://pictures.abebooks.com/inventory/md/md31649789965.jpg,Modern First Editions
303,Freewater (Newbery & Coretta Scott King Award Winner),"Owens, Delia",2022,109 sellers,US$55.00 ,https://pictures.abebooks.com/inventory/md/md31547648154.jpg,Modern First Editions
304,Night of the Living Rez,"Ng, Celeste",2022,109 sellers,US$75.00 ,https://pictures.abebooks.com/inventory/md/md31705750372.jpg,Modern First Editions
305,The Art of Engraving,"Meek, James B.",1973,82 sellers,US$32.69 ,https://pictures.abebooks.com/inventory/md/md31552748285.jpg,Crafts & Hobbies
306,Tom Tichenor's Puppets,"[Minnelli, Liza]",1971,82 sellers,US$20.00 ,https://pictures.abebooks.com/inventory/md/md317131132.jpg,Crafts & Hobbies
307,"Prihynur og langsjöl - Icelandic edition, signed","Ackley, Edith Flack",1988,82 sellers,US$150.00 ,https://pictures.abebooks.com/inventory/md/md31133417559.jpg,Crafts & Hobbies
308,"The Art of Fair Isle: History, Technique, Color & Patterns",Baird Bill,1996,82 sellers,US$84.99 ,https://pictures.abebooks.com/inventory/md/md31493087233.jpg,Crafts & Hobbies
309,From Felt to Fabric: New Techniques in Nuno Felting (Signed),"Tichenor, Tom",2011,82 sellers,US$32.69 ,https://pictures.abebooks.com/inventory/md/md30688225011.jpg,Crafts & Hobbies
310,"Flip! for Decorating: A Page-by-Page, Piece-by-Piece, Room-by-Room Guide to Transforming Your Home","Crow, Nancy",2009,82 sellers,US$20.00 ,https://pictures.abebooks.com/inventory/md/md19340045896.jpg,Crafts & Hobbies
311,CALENDAR CLOCKS (with 1993 & 2000 Price Updates),"Miller, Marie S.",1993,82 sellers,US$95.00 ,https://pictures.abebooks.com/inventory/md/md30447622427.jpg,Crafts & Hobbies
