id,title,author,pub_year,publisher,price,img,class
154,"The FLESH of the ORCHID. (# 111 in the Vintage Harlequin Series) story of Carol Blandish, daughte...","Chase, James Hadley. ( pseudonym of Rene Brabazon Raymond...",1951,Comic World,US$89.00 ,https://pictures.abebooks.com/inventory/md/md4176346624.jpg,Canadian Vintage PB Harlequin Collins White Circle
155,IN THE KITCHEN WITH ROSIE: Oprah's Favorite Recipes,"Daley, Rosie; (Oprah Winfrey, Introduction)",1994,100POCKETS,US$12.50 ,https://pictures.abebooks.com/inventory/md/md18699468917.jpg,Diet
156,"POWER, FREEDOM AND GRACE : Living from the Source of Lasting Happiness",Deepak Chopra,2006,100POCKETS,US$16.50 ,https://pictures.abebooks.com/inventory/md/md30339356828.jpg,Diet
157,Stride Toward Freedom: The Montgomery Story,"King Jr, Martin Luther",1958,Mainly Books,US$35.00 ,https://pictures.abebooks.com/inventory/md/md31408531486.jpg,American History
158,Alexander Hamilton,"Chernow, Ron",2004,Mainly Books,US$12.00 ,https://pictures.abebooks.com/isbn/9781594200090-us-300.jpg,American History
159,"Forgotten Summers: The Story of the Citizens' Military Training Camps, 1921-1940","Kington, Donald M.",1995,Mainly Books,US$39.00 ,https://pictures.abebooks.com/isbn/9780964578906-us-300.jpg,American History
160,The Life of John Marshall: Four Volumes in Two Books,"Beveridge, Albert J.",1916,Mainly Books,US$19.00 ,https://pictures.abebooks.com/inventory/md/md31574813706.jpg,American History
161,Challenges (Signed First Edition),James B. Donovan (author); Erwin N. Griswold (foreword),1967,Dan Pope Books,US$650.00 ,https://pictures.abebooks.com/inventory/md/md30774692715.jpg,Association Copies
162,Collected Poems (Signed First Edition),Mark Strand,2014,Dan Pope Books,US$350.00 ,https://pictures.abebooks.com/inventory/md/md30842232693.jpg,Association Copies
163,Your Hidden Skills: Clues to Careers and Future Pursuits,Henry Greenleaf Pearson,1981,Gene The Book Peddler,US$22.00 ,https://pictures.abebooks.com/inventory/md/md22552641941.jpg,Self Help Hypnosis How To
164,Sturtevant Heating and Ventilation,"Siegel, Bernie S. M.D.",1914,Gene The Book Peddler,US$24.00 ,https://pictures.abebooks.com/inventory/md/md22463423521.jpg,Self Help Hypnosis How To
165,"Prescriptions for Living: Inspirational Lessons for a Joyful, Loving Life","Pighini, Sue",1998,Gene The Book Peddler,US$18.00 ,https://pictures.abebooks.com/inventory/md/md1290168682.jpg,Self Help Hypnosis How To
166,In Search of South Africa,"Morton, H V",1948,Chapter 1,US$60.00 ,https://pictures.abebooks.com/inventory/md/md17243495708.jpg,Travel (Africa)
167,Sandy Tracks to the Kraal,"Becker, Peter",1956,Chapter 1,US$70.00 ,https://pictures.abebooks.com/inventory/md/md17234803189.jpg,Travel (Africa)
168,Richardsrun: Cape Agulhas to Kilimanjaro on foot,"Goodhead, Richard",2012,Chapter 1,US$35.00 ,https://pictures.abebooks.com/inventory/md/md19201838710.jpg,Travel (Africa)
169,Do not take this road to El-Karama,"Harvie, Chris",2008,Chapter 1,US$8.00 ,https://pictures.abebooks.com/inventory/md/md19021963179.jpg,Travel (Africa)
170,Hope in Thyme: A Journey along the Coast of South Africa,"Grier, David",2009,Chapter 1,US$14.00 ,https://pictures.abebooks.com/inventory/md/md19453816223.jpg,Travel (Africa)
171,THE ART OF FARRIERY both in theory and practice,mr JOHN REEVES,1759,Bingo Books 2,US$67.50 ,https://pictures.abebooks.com/inventory/md/md30472364436.jpg,Ancient History
172,The Dragon Waiting: A Masque of History,"Ford, John M.",1983,Bingo Books 2,US$61.00 ,https://pictures.abebooks.com/isbn/9780671475529-us-300.jpg,Ancient History
173,Under Taos Mountain: The Terrible Quarrel Of Magpie And Tia,Penelope Scambly Schott,2009,Bingo Books 2,US$9.50 ,https://pictures.abebooks.com/isbn/9780980221152-us-300.jpg,Ancient History
174,"The Words of My Perfect Teacher, Revised Edition (Sacred Literature Series)",Patrul Rinpoche,1998,Bingo Books 2,US$77.50 ,https://pictures.abebooks.com/isbn/9781570624124-us-300.jpg,Ancient History
175,The Element Encyclopedia of Witchcraft: The Complete A-Z for the Entire Magical World,"Illes, Judika",2005,Bingo Books 2,US$41.00 ,https://pictures.abebooks.com/isbn/9780007192939-us-300.jpg,Ancient History
176,"Best of the Hammer, Vol. 1","Flax, Brian D.",1985,Bingo Books 2,US$77.50 ,https://pictures.abebooks.com/isbn/9780943228044-us-300.jpg,Ancient History
177,"The Conservative Complete, 1915 - 1923 -by H P Lovecraft / Necronomicon Press","Lovecraft, H P ( Howard Phillips ); Foreword By Frank Bel...",1977,Leonard Shoup,US$21.21 ,https://pictures.abebooks.com/inventory/md/md31373356099.jpg,H P Lovecraft
