title,author,pub_year,publisher,price,img,class,isbn
Great Level: History of Drainage and Land Reclamation in the Fens,"Summers, Dorothy",1976,St Paul's Bookshop P.B.F.A.,US$19.46 ,https://pictures.abebooks.com/isbn/9780715370414-us-300.jpg,Art Books,0856610437
My Life in France,"Child, Julia; Prud'homme, Alex",2009,Great Southern Books,US$10.09 ,https://pictures.abebooks.com/inventory/md/md12732146266.jpg,Personal Memoirs,0316861014
Beyond the Western Rivers,"White, Myrtle Rose",1955,Great Southern Books,US$20.22 ,https://pictures.abebooks.com/inventory/md/md11022465509.jpg,Personal Memoirs,1921642971
Iris : A Memoir of Iris Murdoch,"Bayley, John",2002,Great Southern Books,US$8.74 ,https://pictures.abebooks.com/inventory/md/md8998420060.jpg,Personal Memoirs,0007157347
Dawn : One Hell of a Life,"Fraser, Dawn",2001,Great Southern Books,US$13.47 ,https://pictures.abebooks.com/isbn/9780733613425-us-300.jpg,Personal Memoirs,1742660347
IN THE KITCHEN WITH ROSIE: Oprah's Favorite Recipes,"Daley, Rosie; (Oprah Winfrey, Introduction)",1994,100POCKETS,US$14.50 ,https://pictures.abebooks.com/inventory/md/md18699468917.jpg,Diet,1579549799
"POWER, FREEDOM AND GRACE : Living from the Source of Lasting Happiness",Deepak Chopra,2006,100POCKETS,US$22.50 ,https://pictures.abebooks.com/inventory/md/md30339356828.jpg,Diet,0999234315
THE ART OF REFLEXOLOGY : A New Approach Using the Chinese Meridian Theory (Health Workbooks),"Dougans, Inge; Suzanne Ellis, Suzanne Inge",1995,100POCKETS,US$26.50 ,https://pictures.abebooks.com/isbn/9781852302368-us-300.jpg,Diet,1400202140
THE ART OF DOING NOTHING : Simple Ways to Make Time for Yourself,Veronique Vienne; Erica Lennard,1998,100POCKETS,US$16.50 ,https://pictures.abebooks.com/isbn/9780609600740-us-300.jpg,Diet,0835605116
THE QUEST FOR THERAPY : Medical Pluralism in Lower Zaire (Comparative Studies of Health Systems a...,"John M.; William, Arkinstall (Charles Leslie, Foreword)",1982,100POCKETS,US$12.50 ,https://pictures.abebooks.com/isbn/9780520046337-us-300.jpg,Diet,0805010408
Cinders to Satin,FERN MICHAELS,1990,Read It Again Books,US$3.10 ,https://pictures.abebooks.com/isbn/9780345339522-us-300.jpg,Historical Romance,0380780755
Dragonfly in Amber,DIANA GABALDON,1993,Read It Again Books,US$5.00 ,https://pictures.abebooks.com/isbn/9780440215622-us-300.jpg,Historical Romance,0060839252
Dreaming of You,LISA KLEYPAS,1994,Read It Again Books,US$5.00 ,https://pictures.abebooks.com/isbn/9780380773527-us-300.jpg,Historical Romance,1416560262
A Rogues Proposal,STEPHANIE LAURENS,1999,Read It Again Books,US$5.00 ,https://pictures.abebooks.com/isbn/9780380805693-us-300.jpg,Historical Romance,0062068628
Wolf and the Dove,KATHLEEN E. WOODIWISS,1996,Read It Again Books,US$5.00 ,https://pictures.abebooks.com/isbn/9780380007783-us-300.jpg,Historical Romance,0515152994
Collected Poems (Signed First Edition),Mark Strand,2014,Dan Pope Books,US$250.00 ,https://pictures.abebooks.com/inventory/md/md30842232693.jpg,Association Copies,0880015284
Challenges (Signed First Edition),James B. Donovan (author); Erwin N. Griswold (foreword),1967,Dan Pope Books,"US$1,500.00 ",https://pictures.abebooks.com/inventory/md/md30774692715.jpg,Association Copies,0292715277
"The Dream of the Unified Field: Selected Poems, 1974-1994 (Signed First Edition)",Jorie Graham,1995,Dan Pope Books,US$500.00 ,https://pictures.abebooks.com/inventory/md/md30846286568.jpg,Association Copies,0374220204
The Complete Poems of Marianne Moore,Marianne Moore,1981,Dan Pope Books,US$300.00 ,https://pictures.abebooks.com/inventory/md/md30847872645.jpg,Association Copies,0819520772
No Nature: New and Selected Poems (Signed First Edition),Gary Snyder,1992,Dan Pope Books,US$120.00 ,https://pictures.abebooks.com/inventory/md/md30840250180.jpg,Association Copies,0300074727
Where Shall Wisdom Be Found? (Signed First Edition),Harold Bloom,2004,Dan Pope Books,US$175.00 ,https://pictures.abebooks.com/inventory/md/md30901912508.jpg,Association Copies,0300031483
"Selected Poems, 1923-1975 (Signed First Trade Edition)",Robert Penn Warren,1976,Dan Pope Books,US$650.00 ,https://pictures.abebooks.com/inventory/md/md30841828974.jpg,Association Copies,0976701219
The Bear and the Bird King,Grimm Brothers; (Retold and Illustrated by Robert Byrd),1994,Books End Bookshop,US$4.50 ,https://pictures.abebooks.com/isbn/9780525451181-us-300.jpg,Children's Illustrated,0316705217
Grandfather's Journey,"Say, Allen",1993,Books End Bookshop,US$5.00 ,https://pictures.abebooks.com/isbn/9780395570357-us-300.jpg,Children's Illustrated,0802851797
Once a Mouse.,"Brown, Marcia",2003,Books End Bookshop,US$15.00 ,https://pictures.abebooks.com/isbn/9780684126623-us-300.jpg,Children's Illustrated,0670859206
Brundibar,"Kushner, Tony (Pictures by Maurice Sendak)",2003,Books End Bookshop,US$5.00 ,https://pictures.abebooks.com/isbn/9780786809042-us-300.jpg,Children's Illustrated,0811805263
Bad Day at Riverbend,"Van Allsburg, Chris",1995,Books End Bookshop,US$5.00 ,https://pictures.abebooks.com/isbn/9780395673478-us-300.jpg,Children's Illustrated,0689870116
The Wretched Stone,"Van Allsburg, Chris",1991,Books End Bookshop,US$5.50 ,https://pictures.abebooks.com/isbn/9780395533079-us-300.jpg,Children's Illustrated,0531068773
My Grandma Lived in Gooligulch,"Base, Graeme",1990,Books End Bookshop,US$4.00 ,https://pictures.abebooks.com/isbn/9780810915473-us-300.jpg,Children's Illustrated,088776813X
The Other Dog,"L'Engle, Madeleine & Christine Davenier",2001,Books End Bookshop,US$6.00 ,https://pictures.abebooks.com/isbn/9781587170409-us-300.jpg,Children's Illustrated,0395348323
Agatha's Feather Bed: Not Just Another Wild Goose Story,"Deedy, Carmen Agra",1991,Books End Bookshop,US$6.50 ,https://pictures.abebooks.com/isbn/9781561450084-us-300.jpg,Children's Illustrated,1554538122
Living to Tell the Tale,"Garcia Marquez, Gabriel",2003,Abacus Bookshop,US$5.00 ,https://pictures.abebooks.com/isbn/9781400041343-us-300.jpg,Latin American Literature,051755870X
The Censors (A Bilingual Selection of Stories),"Valenzuela, Luisa",1988,Abacus Bookshop,US$20.00 ,https://pictures.abebooks.com/isbn/9780915306121-us-300.jpg,Latin American Literature,0525241647
Strange Pilgrims: Twelve Stories,"Garcia Marquez, Gabriel",1993,Abacus Bookshop,US$7.50 ,https://pictures.abebooks.com/isbn/9780679425663-us-300.jpg,Latin American Literature,0374173974
Memories of My Melancholy Whores,"Garcia Marquez, Gabrie",2005,Abacus Bookshop,US$7.50 ,https://pictures.abebooks.com/isbn/9781400044603-us-300.jpg,Latin American Literature,0374146381
In Search of South Africa,"Morton, H V",1948,Chapter 1,US$60.00 ,https://pictures.abebooks.com/inventory/md/md17243495708.jpg,Travel (Africa),1770073086
Sandy Tracks to the Kraal,"Becker, Peter",1956,Chapter 1,US$28.00 ,https://pictures.abebooks.com/inventory/md/md17234803189.jpg,Travel (Africa),0795701918
Old Possum's Book of Practical Cats.,"(Edward Gorey) ELIOT, T. S.",1982,"Grendel Books, ABAA/ILAB",US$15.00 ,https://pictures.abebooks.com/inventory/md/md30975390503.jpg,Nobel Prize Winners,0679411674
Time of the Hero.,"VARGAS LLOSA, Mario.",1966,"Grendel Books, ABAA/ILAB",US$30.00 ,https://pictures.abebooks.com/inventory/md/md3571728009.jpg,Nobel Prize Winners,0873323432
The Unconsoled.,"ISHIGURO, Kazuo.",1995,"Grendel Books, ABAA/ILAB",US$100.00 ,https://pictures.abebooks.com/isbn/9780679404255-us-300.jpg,Nobel Prize Winners,1931082073
Song of Solomon.,"MORRISON, Toni.",1995,"Grendel Books, ABAA/ILAB",US$35.00 ,https://pictures.abebooks.com/isbn/9780679445043-us-300.jpg,Nobel Prize Winners,0571101267
Unattainable Earth.,"MILOSZ, Czeslaw.",1986,"Grendel Books, ABAA/ILAB",US$10.00 ,https://pictures.abebooks.com/isbn/9780880010986-us-300.jpg,Nobel Prize Winners,0781800250
"Collected Poems, 1948-1984.","WALCOTT, Derek.",1992,"Grendel Books, ABAA/ILAB",US$65.00 ,https://pictures.abebooks.com/isbn/9780374126261-us-300.jpg,Nobel Prize Winners,015100353X
The Myth of Freedom and the Way of Meditation (Shambhala Classics),Chogyam Trungpa,2002,Molly's Brook Books,US$3.00 ,https://pictures.abebooks.com/inventory/md/md22455665211.jpg,Buddhism,0805087125
Mind-Seal of the Buddhas: Patriarch Ou-i's Commentary on the Amitabha Sutra,J. C. Cleary,1998,Molly's Brook Books,US$9.00 ,https://pictures.abebooks.com/inventory/md/md31415990777.jpg,Buddhism,1842931156
Dharma Moments,Danai Chanchaochai,2005,Molly's Brook Books,US$8.00 ,https://pictures.abebooks.com/inventory/md/md31416002933.jpg,Buddhism,082481214X
The Vision of the Buddha,"Lowenstein, Tom",1996,Molly's Brook Books,US$15.00 ,https://pictures.abebooks.com/inventory/md/md31532247386.jpg,Buddhism,0807615110
Destructive Emotions: How Can We Overcome Them? A Scientific Dialogue with the Dalai Lama,Daniel Goleman,2003,Molly's Brook Books,US$5.00 ,https://pictures.abebooks.com/inventory/md/md30352870135.jpg,Buddhism,1570620512
Tree of Life: Buddhism and Protection of Nature,Peter Scott,1987,Molly's Brook Books,US$10.00 ,https://pictures.abebooks.com/inventory/md/md30392869384.jpg,Buddhism,0898002435
The Dhammapada,"Easwaran, Eknath",2007,Molly's Brook Books,US$7.00 ,https://pictures.abebooks.com/inventory/md/md31566595906.jpg,Buddhism,0691000158
Zen and the Birds of Appetite,Thomas Merton,1968,Molly's Brook Books,US$8.00 ,https://pictures.abebooks.com/inventory/md/md30704896906.jpg,Buddhism,1611800579
"The Infernal Devices, Book Three, Clockwork Princess (signed, and with 10 Collector Postcards)","Clare, Cassandra (signed)",2013,About Books,US$38.95 ,https://pictures.abebooks.com/isbn/9781416975908-us-300.jpg,Modern First Editions,080501084X
Timequake (signed presentation edition),"Vonnegut, Kurt (signed)",1997,About Books,US$39.95 ,https://pictures.abebooks.com/inventory/md/md31086042770.jpg,Modern First Editions,141653265X
I is for Innocent [brand new first printing],"Grafton, Sue (signed)",1992,About Books,US$34.95 ,https://pictures.abebooks.com/isbn/9780805010855-us-300.jpg,Modern First Editions,1401340903
Everybody's Fool: A novel,"Russo, Richard",2016,"Vandello Books, Member IOBA",US$40.00 ,https://pictures.abebooks.com/inventory/md/md19378725722.jpg,Signed & Inscribed,0374203059
The Heaven & Earth Grocery Store: A Novel,"McBride, James",2023,"Vandello Books, Member IOBA",US$25.00 ,https://pictures.abebooks.com/inventory/md/md31638593673.jpg,Signed & Inscribed,0688081665
Sharp Objects,"Flynn, Gillian",2006,"Vandello Books, Member IOBA",US$50.00 ,https://pictures.abebooks.com/inventory/md/md30435371341.jpg,Signed & Inscribed,0915368544
Mirror Mirror: A Novel,Gregory Maguire,2003,"Vandello Books, Member IOBA",US$20.00 ,https://pictures.abebooks.com/inventory/md/md6894111670.jpg,Signed & Inscribed,0679457550
Your Hidden Skills: Clues to Careers and Future Pursuits,Henry Greenleaf Pearson,1981,Gene The Book Peddler,US$20.00 ,https://pictures.abebooks.com/inventory/md/md22552641941.jpg,Self Help Hypnosis How To,0743250605
Sturtevant Heating and Ventilation,"Siegel, Bernie S. M.D.",1914,Gene The Book Peddler,US$18.00 ,https://pictures.abebooks.com/inventory/md/md22463423521.jpg,Self Help Hypnosis How To,0887307027
"Prescriptions for Living: Inspirational Lessons for a Joyful, Loving Life","Pighini, Sue",1998,Gene The Book Peddler,US$16.00 ,https://pictures.abebooks.com/inventory/md/md1290168682.jpg,Self Help Hypnosis How To,039470889X
Expect the Extraordinary,Shanon,2016,Gene The Book Peddler,US$16.00 ,https://pictures.abebooks.com/inventory/md/md22692257240.jpg,Self Help Hypnosis How To,0804834865
You are Wiser Than You Think,"Moore, Thomas",2005,Gene The Book Peddler,US$40.00 ,https://pictures.abebooks.com/inventory/md/md14914728958.jpg,Self Help Hypnosis How To,0914365002
Antarctica: A Year at the Bottom of the World,"Mastro, Jim",2002,The Parnassus BookShop,US$7.06 ,https://pictures.abebooks.com/inventory/md/md16909104228.jpg,"Travel, Travel Writing, Travel Adventure",0156031566
French Lessons in Africa: Travels With My Briefcase Through French Africa,"Biddlecombe, Peter",1994,The Parnassus BookShop,US$19.95 ,https://pictures.abebooks.com/isbn/9780349105093-us-300.jpg,"Travel, Travel Writing, Travel Adventure",1845882172
A Year in Provence,"MAYLE, PETER",1991,The Parnassus BookShop,US$14.12 ,https://pictures.abebooks.com/inventory/md/md16905951133.jpg,"Travel, Travel Writing, Travel Adventure",1400046211
